empresa,sitio_web,contacto,cargo,email,telefono,linkedin,score_relevancia,calidad_contacto
"Amazon México Logistics","amazon.com.mx","Juan García","Jefe de Almacén","juan.garcía@amazon.com.mx","+52 55 4387 8960","https://linkedin.com/in/juan-garcía","100","100"
"Amazon México Logistics","amazon.com.mx","María López","Jefe de Almacén","maría.lópez@amazon.com.mx","+52 55 8258 4725","https://linkedin.com/in/maría-lópez","100","100"
"Amazon México Logistics","amazon.com.mx","Carlos Martínez","Director de Logística","carlos.martínez@amazon.com.mx","+52 55 1538 2479","https://linkedin.com/in/carlos-martínez","100","100"
"Mercado Libre","mercadolibre.com.mx","Juan García","Director de Distribución","juan.garcía@mercadolibre.com.mx","+52 55 7331 6279","https://linkedin.com/in/juan-garcía","75","100"
"Mercado Libre","mercadolibre.com.mx","María López","Director de Distribución","maría.lópez@mercadolibre.com.mx","+52 55 9265 4272","https://linkedin.com/in/maría-lópez","75","100"
"Mercado Libre","mercadolibre.com.mx","Carlos Martínez","Director de Distribución","carlos.martínez@mercadolibre.com.mx","+52 55 7435 3844","https://linkedin.com/in/carlos-martínez","75","100"
"Grupo Bimbo Logística","grupobimbo.com","Juan García","Jefe de Almacén","juan.garcía@grupobimbo.com","+52 55 9678 4787","https://linkedin.com/in/juan-garcía","80","100"
"Grupo Bimbo Logística","grupobimbo.com","María López","Director de Logística","maría.lópez@grupobimbo.com","+52 55 2105 6040","https://linkedin.com/in/maría-lópez","80","100"
"Grupo Bimbo Logística","grupobimbo.com","Carlos Martínez","Director de Logística","carlos.martínez@grupobimbo.com","+52 55 1000 5255","https://linkedin.com/in/carlos-martínez","80","100"
"Femsa Distribución","femsa.com.mx","Juan García","Jefe de Almacén","juan.garcía@femsa.com.mx","+52 55 6877 4003","https://linkedin.com/in/juan-garcía","80","100"
"Femsa Distribución","femsa.com.mx","María López","Director de Distribución","maría.lópez@femsa.com.mx","+52 55 7561 5204","https://linkedin.com/in/maría-lópez","80","100"
"Femsa Distribución","femsa.com.mx","Carlos Martínez","Head of Ecommerce","carlos.martínez@femsa.com.mx","+52 55 3270 6450","https://linkedin.com/in/carlos-martínez","80","100"
"DHL Express México","dhl.com.mx","Juan García","Director de Logística","juan.garcía@dhl.com.mx","+52 55 4644 3956","https://linkedin.com/in/juan-garcía","80","100"
"DHL Express México","dhl.com.mx","María López","Head of Ecommerce","maría.lópez@dhl.com.mx","+52 55 9392 8396","https://linkedin.com/in/maría-lópez","80","100"
"DHL Express México","dhl.com.mx","Carlos Martínez","Head of Ecommerce","carlos.martínez@dhl.com.mx","+52 55 7130 5380","https://linkedin.com/in/carlos-martínez","80","100"
"Guadalajara Distribuidora","guadalajaradist.com.mx","Juan García","Head of Ecommerce","juan.garcía@guadalajaradist.com.mx","+52 55 2002 8685","https://linkedin.com/in/juan-garcía","40","100"
"Guadalajara Distribuidora","guadalajaradist.com.mx","María López","Head of Ecommerce","maría.lópez@guadalajaradist.com.mx","+52 55 5957 7113","https://linkedin.com/in/maría-lópez","40","100"
"Guadalajara Distribuidora","guadalajaradist.com.mx","Carlos Martínez","Jefe de Almacén","carlos.martínez@guadalajaradist.com.mx","+52 55 8430 2424","https://linkedin.com/in/carlos-martínez","40","100"
"Supply Chain Monterrey","scmonterrey.com.mx","Juan García","Head of Ecommerce","juan.garcía@scmonterrey.com.mx","+52 55 2293 5871","https://linkedin.com/in/juan-garcía","40","100"
"Supply Chain Monterrey","scmonterrey.com.mx","María López","Head of Ecommerce","maría.lópez@scmonterrey.com.mx","+52 55 7244 4142","https://linkedin.com/in/maría-lópez","40","100"
"Supply Chain Monterrey","scmonterrey.com.mx","Carlos Martínez","Jefe de Almacén","carlos.martínez@scmonterrey.com.mx","+52 55 3532 4609","https://linkedin.com/in/carlos-martínez","40","100"
